provider_name,provider_state,provider_zip_code,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,provider_type,provider_resides_in_hospital,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,health_inspection_rating,qm_rating,staffing_rating,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,registered_nurse_hours_per_resident_per_day_on_the_weekend,number_of_administrators_who_have_left_the_nursing_home,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,number_of_payment_denials,total_number_of_penalties
KELLER LANDING,AL,35674,For profit - Corporation,109,71,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,4,1.68064,1.61009,3.29073,0.35334,4,0,0,0,0,0,0
MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,35631,For profit - Corporation,222,181.5,Medicare and Medicaid,N,N,,N,Y,Both,Yes,4,4,3,3,1.53405,1.49861,3.03265,0.27992,,0,0,0,0,0,0
DIVERSICARE OF FOLEY,AL,36535,For profit - Corporation,154,106.4,Medicare and Medicaid,N,N,SFF Candidate,N,Y,Resident,Yes,1,1,4,3,1.78552,1.25783,3.04335,0.48237,0,3,2,0,1,0,1
"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,35473,For profit - Limited Liability company,78,75.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,4,3.09774,1.21535,4.31309,0.18222,,0,0,0,0,0,0
WEST GATE VILLAGE,AL,36427,For profit - Corporation,125,100.6,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,4,2,4,2.95968,1.65184,4.61153,0.30186,0,0,0,0,0,0,0
DIVERSICARE OF MONTGOMERY,AL,36106,For profit - Corporation,138,93.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,5,2,1.79424,0.99892,2.79316,0.26544,2,2,0,0,1,0,1
"SUMTER HEALTH AND REHABILITATION, L L C",AL,36925,For profit - Corporation,125,95.2,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,3,5,3,2.58818,1.11097,3.69915,0.28353,,0,0,0,0,0,0
"CAREGIVERS OF PLEASANT GROVE, INC",AL,35127,For profit - Corporation,64,41.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,2,2.56615,1.31136,3.87752,0.33855,1,0,4,0,5,0,5
EAMC LANIER NURSING HOME,AL,36854,Non profit - Corporation,103,68.7,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,4,3,4,2.13134,1.63291,3.76426,0.14029,0,0,0,0,1,0,1
"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,35234,For profit - Corporation,113,104.9,Medicare and Medicaid,N,N,,N,Y,Both,Yes,1,2,1,4,2.83506,1.08238,3.91745,0.10751,,1,0,1,0,0,0
CULLMAN HEALTH CARE CENTER,AL,35055,For profit - Corporation,95,64.9,Medicare and Medicaid,N,N,,N,N,Both,Yes,5,5,5,3,2.56978,1.42657,3.99636,0.18905,0,0,0,0,0,0,0
EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,36526,Non profit - Corporation,117,70.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,2,1.80735,1.5323,3.33965,0.50096,0,0,0,1,0,0,0
OAK TRACE CARE & REHABILITATION CENTER,AL,35020,For profit - Corporation,79,69.7,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,4,2,1.78671,1.13883,2.92554,0.22408,1,0,2,0,2,0,2
CLEBURNE COUNTY NURSING HOME,AL,36264,Government - County,82,70.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,2,2.24167,1.45353,3.69521,0.34598,2,0,2,2,0,0,0
TERRACE OAKS CARE & REHABILITATION CENTER,AL,35020,For profit - Corporation,69,52.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,5,2,1.69864,1.43223,3.13087,0.2764,2,2,0,1,4,0,4
DIVERSICARE OF BOAZ,AL,35957,For profit - Corporation,100,92.8,Medicare and Medicaid,N,N,,N,Y,Both,Yes,4,3,5,4,2.11189,1.39038,3.50227,0.51326,0,0,0,1,1,0,1
"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,36066,For profit - Corporation,162,142,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,4,2.49568,1.57222,4.0679,0.24514,,7,2,2,0,0,0
"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,35653,For profit - Corporation,63,51.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,4,1.88113,1.8866,3.76773,0.31807,0,0,0,0,0,0,0
COTTAGE OF THE SHOALS,AL,35674,For profit - Corporation,103,80,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,4,2,3,1.91069,1.36121,3.2719,0.44321,0,0,1,0,1,0,1
ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,35653,For profit - Limited Liability company,50,34.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,4,2.92617,2.26019,5.18637,0.54578,,0,0,0,1,0,1
"HANCEVILLE NURSING & REHAB CENTER, INC",AL,35077,For profit - Corporation,208,186.2,Medicare and Medicaid,N,N,,N,Y,Both,Yes,5,5,4,4,2.36541,1.43133,3.79674,0.23363,0,0,0,0,0,0,0
"SUMMERFORD HEALTH AND REHAB, LLC",AL,35622,For profit - Corporation,216,155.2,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,3,3,2,1.42027,1.17841,2.59869,0.181,0,0,0,0,0,0,0
FAIR HAVEN,AL,35210,Non profit - Corporation,259,236.1,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,2,1,5,3,2.80061,1.35063,4.15125,0.24765,0,0,3,1,3,1,4
"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,36323,For profit - Corporation,111,89.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,2,2.09844,1.0374,3.13584,0.21724,0,0,1,0,1,0,1
PARK PLACE,AL,36701,For profit - Corporation,103,97.5,Medicare and Medicaid,N,N,,N,N,None,Yes,1,1,4,2,1.92418,0.9875,2.91168,0.19357,1,0,3,1,1,0,1
EVERGREEN NURSING HOME,AL,36401,For profit - Corporation,61,49.8,Medicare and Medicaid,N,N,,N,Y,Both,Yes,5,4,4,5,2.74384,1.89398,4.63782,0.16673,0,0,0,0,0,0,0
"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,35217,For profit - Corporation,190,162.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,2,2.09101,1.34256,3.43357,0.33021,1,0,2,0,1,0,1
"SOUTH HEALTH AND REHABILITATION, LLC",AL,35205,For profit - Corporation,83,72.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,2.81734,1.23549,4.05283,0.24916,,2,0,0,0,0,0
ALLEN HEALTH AND REHABILITATION,AL,36603,Non profit - Corporation,119,70.5,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,3,3,4,2.55525,1.43836,3.9936,0.35486,0,0,0,0,0,0,0
CROWNE HEALTH CARE OF MOBILE,AL,36605,For profit - Corporation,148,133.9,Medicare and Medicaid,N,N,,N,Y,Both,Yes,4,4,4,4,2.59305,1.85286,4.44591,0.32356,1,0,0,0,0,0,0
ALTOONA  HEALTH & REHAB,AL,35952,For profit - Corporation,50,48.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,2,5,2.46225,1.69316,4.15541,0.48251,,0,0,0,0,0,0
"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",AL,36607,For profit - Corporation,164,132.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,3,2,5,3.00678,1.47224,4.47902,0.30412,,0,0,0,0,0,0
SOUTHLAND NURSING HOME,AL,36756,For profit - Corporation,91,55.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,4,2.2887,1.60659,3.89529,0.18095,,0,0,0,3,0,3
"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,35234,For profit - Corporation,95,92.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,4,2.65482,0.9102,3.56501,0.31586,,0,0,0,0,0,0
DIVERSICARE OF BIG SPRINGS,AL,35801,For profit - Corporation,145,111,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,4,1,1.44966,0.95258,2.40224,0.20468,3,0,1,0,0,0,0
MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,36083,For profit - Corporation,111,79,Medicare and Medicaid,N,N,,N,Y,Both,Yes,1,1,4,2,1.64504,1.19987,2.84491,0.20294,0,1,0,0,3,0,3
RIVER CITY CENTER,AL,35601,For profit - Corporation,183,155,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,2,1.86459,1.34488,3.20947,0.32072,3,4,0,0,2,0,2
SHADESCREST HEALTH CARE CENTER,AL,35502,For profit - Corporation,107,73.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,3,4,2.20913,2.36652,4.57565,0.35514,,1,0,1,2,0,2
"CORDOVA HEALTH AND REHABILITATION, LLC",AL,35550,For profit - Corporation,114,102.1,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,4,3,2.1442,1.20761,3.35181,0.08725,,0,0,0,0,0,0
SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,AL,35801,For profit - Limited Liability company,159,83.4,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,3,5,3,2.01798,1.4821,3.50008,0.30907,1,1,0,1,1,0,1
"OAK KNOLL HEALTH AND REHABILITATION, LLC",AL,35204,For profit - Corporation,100,95,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,4,2.84711,1.0317,3.87881,0.27063,,0,0,0,0,0,0
"SELMA HEALTH AND REHAB, LLC",AL,36701,For profit - Individual,172,115.8,Medicare and Medicaid,N,N,SFF Candidate,N,N,Both,Yes,1,1,1,2,1.9466,0.93185,2.87845,0.3048,2,9,0,0,14,0,14
"NHC HEALTHCARE, ANNISTON",AL,36207,For profit - Corporation,151,121.5,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,2,3,2.62568,1.42957,4.05525,0.42659,1,0,1,2,2,0,2
CROWNE HEALTH CARE OF CITRONELLE,AL,36522,For profit - Corporation,69,70.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,4,2.88203,1.26934,4.15137,0.26767,0,0,0,0,0,0,0
WASHINGTON COUNTY NURSING HOME,AL,36518,Government - County,88,72.4,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,5,5,5,4,2.70202,1.67204,4.37406,0.12899,,0,0,0,1,0,1
CLAY COUNTY NURSING HOME,AL,36251,Non profit - Other,83,64,Medicare and Medicaid,Y,N,,N,N,Both,Yes,5,4,4,5,2.36598,1.43698,3.80296,0.39234,,0,0,1,2,0,2
TRAYLOR RETIREMENT COMMUNITY,AL,36274,For profit - Corporation,123,77.5,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,4,4,2.35838,1.45026,3.80864,0.7029,0,0,0,0,0,0,0
BROOKSHIRE HEALTHCARE CENTER,AL,35805,For profit - Corporation,129,99.6,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,4,4,1,1.63068,1.23654,2.86722,0.17348,0,0,0,1,1,0,1
"NHC HEALTHCARE, MOULTON",AL,35650,For profit - Corporation,136,106.5,Medicare and Medicaid,N,N,SFF Candidate,N,Y,Resident,Yes,1,1,3,4,2.40782,1.29684,3.70466,0.40753,0,0,2,0,1,1,2
ATMORE NURSING CENTER,AL,36502,For profit - Corporation,100,77.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,4,2.83944,1.72235,4.56179,0.12624,1,0,0,0,0,0,0
DIVERSICARE OF OXFORD,AL,36203,For profit - Corporation,173,129.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,2,5,2,1.71798,0.99638,2.71436,0.29917,1,0,0,0,0,0,0
MAGNOLIA RIDGE,AL,35071,For profit - Corporation,148,129.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,1,2,1,1.99968,1.44267,3.44235,0.17002,3,3,2,3,1,0,1
BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,AL,35215,For profit - Limited Liability company,132,111.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,5,1,1.18989,0.85375,2.04364,0.1629,1,1,0,2,0,0,0
JOHN KNOX MANOR INC  I I,AL,36116,Non profit - Corporation,98,49.6,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,5,5,2,4,3.13912,1.79294,4.93206,0.42207,0,0,0,0,0,0,0
FALKVILLE HEALTH CARE CENTER,AL,35622,For profit - Corporation,116,75.7,Medicare and Medicaid,N,N,,N,Y,None,Yes,2,2,4,2,2.40512,1.41083,3.81595,0.18536,2,2,0,1,0,0,0
ALICEVILLE MANOR NURSING HOME,AL,35442,For profit - Corporation,100,90.3,Medicare and Medicaid,N,N,,N,Y,Both,Yes,5,3,5,5,2.96865,1.41615,4.38479,0.66823,1,0,0,0,0,0,0
HENDRIX HEALTH AND REHABILITATION,AL,35553,For profit - Corporation,110,106.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,3,3,1,2.12223,1.17064,3.29287,0.15288,,0,0,0,0,0,0
"TALLASSEE HEALTH AND REHABILITATION, LLC",AL,36078,For profit - Limited Liability company,111,104.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,4,1,1.8471,1.24636,3.09345,0.07647,,4,1,1,0,0,0
ARBOR WOODS HEALTH AND REHAB,AL,35481,For profit - Partnership,85,45,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,4,3.373,1.58652,4.95952,0.37826,0,0,0,0,0,0,0
"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,36266,For profit - Corporation,101,95.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,3,2.75898,1.22042,3.9794,0.11752,,0,0,0,0,0,0
FOREST MANOR HEALTH AND REHAB,AL,35476,For profit - Limited Liability company,182,157.3,Medicare and Medicaid,N,N,,N,N,Both,Yes,2,2,3,3,2.29081,1.49257,3.78338,0.4924,0,0,2,2,7,1,8
THE HEALTHCARE CENTER AT BUCK CREEK,AL,35007,For profit - Partnership,198,132.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,3,2.36463,1.6581,4.02273,0.20455,2,3,1,0,3,0,3
DIVERSICARE OF RIVERCHASE,AL,35244,For profit - Corporation,132,111.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,2,1.95861,1.25509,3.2137,0.15338,1,0,6,1,5,0,5
GLENWOOD CENTER,AL,35630,For profit - Corporation,125,106.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,2,5,3,1.90293,1.29699,3.19992,0.47211,1,0,0,2,0,0,0
DIVERSICARE OF ARAB,AL,35016,For profit - Limited Liability company,87,81.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,3,1.92291,1.01815,2.94107,0.32056,1,0,0,0,0,0,0
SUNSET MANOR,AL,35563,For profit - Corporation,71,56.3,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,2,5,5,2.60506,1.91632,4.52137,0.72014,,0,0,0,0,0,0
WIREGRASS REHABILITATION CENTER & NURSING HOME,AL,36340,Government - County,96,67.3,Medicare and Medicaid,Y,N,,N,N,Both,Yes,2,2,5,1,3.0874,1.50332,4.59072,0.16379,0,0,0,0,0,0,0
AZALEA HEALTH AND REHAB LLC,AL,36607,For profit - Limited Liability company,170,73.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,3,1.70618,1.7409,3.44708,0.62336,3,1,1,0,8,0,8
EXTENDICARE HEALTH CENTER,AL,36302,For profit - Corporation,170,128,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,3,5,2.4142,2.02464,4.43883,0.37417,,0,0,0,1,0,1
ARLINGTON REHABILITATION & HEALTHCARE CENTER,AL,35211,For profit - Corporation,117,104.5,Medicare and Medicaid,N,N,,N,N,Both,Yes,2,3,1,2,1.94868,1.10342,3.0521,0.37543,,0,0,1,1,0,1
FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,AL,35555,Government - County,122,92.1,Medicare and Medicaid,Y,N,,N,N,Both,Yes,4,3,4,5,2.69339,1.97154,4.66492,0.35892,0,0,0,1,1,0,1
"RIDGEVIEW HEALTH SERVICES, INC",AL,35504,For profit - Corporation,148,119.2,Medicare and Medicaid,N,N,,N,Y,Both,Yes,4,4,3,3,2.03679,1.4711,3.50789,0.39992,2,0,0,0,0,0,0
CROWNE HEALTH CARE OF FT PAYNE,AL,35967,For profit - Corporation,123,101.6,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,5,5,2,4,2.11706,1.61663,3.73368,0.49209,1,0,0,0,0,0,0
HALEYVILLE HEALTH CARE CENTER,AL,35565,For profit - Corporation,97,41.1,Medicare and Medicaid,N,N,,N,N,Both,Yes,5,4,3,5,2.12123,2.03913,4.16037,0.43445,0,1,2,0,0,0,0
DIVERSICARE OF MARION,AL,36756,For profit - Corporation,71,66.7,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,3,2,5,3,2.21552,1.06636,3.28188,0.36198,1,1,0,0,2,0,2
DIVERSICARE OF ONEONTA,AL,35121,For profit - Corporation,120,108.8,Medicare and Medicaid,N,N,,N,Y,Both,Yes,5,4,5,2,1.50546,1.00721,2.51266,0.2812,2,0,0,0,0,0,0
SYLACAUGA HEALTH AND REHAB SERVICES,AL,35150,Non profit - Corporation,149,122.7,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,4,4,3,2,2.03021,0.994,3.02421,0.17722,0,0,0,0,0,0,0
"TALLADEGA HEALTHCARE CENTER, INC",AL,35160,For profit - Corporation,234,217.8,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,2,1,4,2.72884,1.35508,4.08392,0.3675,0,2,3,0,0,0,0
ALBERTVILLE NURSING HOME,AL,35950,For profit - Corporation,159,154.3,Medicare and Medicaid,N,N,,N,Y,Both,Yes,4,4,3,4,3.45628,1.76038,5.21666,0.53599,0,0,0,0,1,0,1
CHOCTAW HEALTH AND REHAB,AL,36904,For profit - Limited Liability company,120,58,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,5,4,1,,,,,,0,0,0,0,0,0
DADEVILLE HEALTHCARE CENTER,AL,36853,For profit - Limited Liability company,144,96.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,2,5,2.83088,1.18364,4.01452,0.36737,,0,0,0,0,0,0
MARION REGIONAL NURSING HOME,AL,35570,Non profit - Corporation,79,56.6,Medicare and Medicaid,Y,N,,N,Y,Resident,Yes,3,3,4,4,1.64953,1.86911,3.51864,0.43937,1,0,0,0,0,0,0
LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE,AL,36604,Non profit - Corporation,75,45.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,5,5,4,4,3.41355,1.52708,4.94063,0.22666,0,0,0,0,4,0,4
"FLORENCE NURSING AND REHABILITATION CTR,  LLC",AL,35630,For profit - Individual,147,125.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,2,5,2,1.5982,1.61311,3.21131,0.36189,2,0,0,2,1,0,1
SOUTHERN SPRINGS HEALTHCARE FACILITY,AL,36089,For profit - Corporation,123,94.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,4,3.10728,1.46519,4.57248,0.11781,0,0,0,0,0,0,0
COOSA VALLEY HEALTH AND REHAB,AL,35905,For profit - Corporation,124,68.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,3,1.80688,1.47329,3.28017,0.49968,0,0,0,2,3,0,3
WESLEY PLACE ON HONEYSUCKLE,AL,36305,Non profit - Corporation,166,155,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,3,4,2.85757,1.60207,4.45964,0.14856,0,0,1,0,0,0,0
"CROSSVILLE HEALTH AND REHABILITATION, LLC",AL,35962,For profit - Corporation,143,129.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,3,2.38511,1.11667,3.50179,0.30844,,0,0,0,0,0,0
WOODHAVEN MANOR NURSING HOME,AL,36732,For profit - Corporation,75,57,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,4,2.47623,1.70992,4.18615,0.20856,0,0,0,0,0,0,0
GREENE COUNTY NURSING HOME,AL,35462,For profit - Corporation,72,,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,,,,,,,,0,0,0,12,0,12
PARKWOOD HEALTH CARE FACILITY,AL,36867,For profit - Corporation,74,67.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,4,4,2.59543,1.90514,4.50057,0.39377,0,0,0,0,0,0,0
GADSDEN HEALTH AND REHAB CENTER,AL,35904,For profit - Individual,168,106.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,4,2,1,,,,,,0,0,0,1,0,1
"GEORGIANA HEALTH AND REHABILITATION, LLC",AL,36033,For profit - Corporation,91,86.7,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,4,4,2.5639,1.35376,3.91766,0.1442,,3,1,0,0,0,0
NORTH MOBILE NURSING AND REHABILITATION CTR,AL,36613,For profit - Individual,172,134.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,1,1.93717,1.23175,3.16893,0.14072,1,0,6,0,2,0,2
CLOVERDALE REHABILITATION AND NURSING CENTER,AL,35768,For profit - Corporation,141,126.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,4,2.25824,1.64671,3.90495,0.35215,,0,0,1,1,0,1
"GLEN HAVEN HEALTH AND REHABILITATION, LLC",AL,35476,For profit - Corporation,200,173.7,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,3,4,2.79619,1.33955,4.13574,0.31978,,0,0,0,0,0,0
"MOUNDVILLE HEALTH AND REHABILITATION, LLC",AL,35474,For profit - Corporation,68,65.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,4,2.57364,1.29564,3.86928,0.50916,,1,0,0,0,0,0
JACKSON HEALTH CARE FACILITY,AL,36545,For profit - Corporation,91,81.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,4,5,2.53284,1.94308,4.47593,0.13728,0,0,1,0,0,0,0
DIVERSICARE OF PELL CITY,AL,35125,For profit - Corporation,94,70.1,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,1,4,2,1.71068,1.33447,3.04515,0.26879,1,3,1,2,1,0,1
BROWN NURSING HOME,AL,35010,For profit - Corporation,68,63.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,2,4,2.21228,1.58517,3.79744,0.52101,0,0,0,0,0,0,0
"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",AL,36801,For profit - Partnership,225,116.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,4,2.92142,1.32534,4.24676,0.24361,1,0,0,1,1,0,1
CROWNE HEALTH CARE OF GREENVILLE,AL,36037,For profit - Corporation,118,91.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,4,2.531,1.62084,4.15184,0.1407,0,2,0,3,1,0,1
PIEDMONT HEALTH CARE CENTER,AL,36272,Government - City,91,81.4,Medicare and Medicaid,N,N,,N,N,Both,Yes,5,5,5,4,3.01229,1.47001,4.4823,0.19872,0,0,0,0,0,0,0
VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,AL,35125,Non profit - Corporation,168,98,Medicare and Medicaid,N,Y,SFF Candidate,N,N,Resident,Yes,1,1,1,2,2.37819,0.96508,3.34326,0.24606,0,0,3,4,4,0,4
DIVERSICARE OF LANETT,AL,36863,For profit - Corporation,85,80.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,1.95555,1.18217,3.13772,0.24538,1,0,0,0,0,0,0
LAFAYETTE EXTENDED CARE,AL,36862,For profit - Corporation,69,55.3,Medicare and Medicaid,N,N,,N,Y,Both,Yes,5,4,5,4,2.79036,1.11853,3.9089,0.37552,2,0,0,0,1,0,1
CROWNE HEALTH CARE OF EUFAULA,AL,36027,For profit - Corporation,180,160.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,2,5,4,2.43782,1.36949,3.80731,0.1407,0,1,1,0,0,0,0
CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,AL,35960,Government - County,185,166.7,Medicare and Medicaid,N,Y,,N,Y,Both,Yes,4,4,4,4,2.90745,1.30522,4.21268,0.39812,,0,0,0,0,0,0
